title,episodes,seasons,total_episodes,essential,like_genre,rec,best,other
Acchi Kocchi,13,0,0,n,y,n,n,
Akagami no Shirayuki-hime,12,1,12,n,y,n,n,
Akikan,12,0,0,n,y,n,n,
Amagami SS,23,1,13,m,y,y,y,
Angel Beats,13,0,0,y,m,n,y,
Anne Happy,11,0,0,n,y,n,n,
AnoHana,10,0,0,yy,m,n,y,
Ansatsu Kyoushitsu,22,1,25,m,m,n,n,
Aoharu x Kikanjuu,12,0,0,n,n,n,n,
Arakawa Under the Bridge,13,1,13,n,y,n,n,
Aria the Animation,13,2,40,m,m,n,n,
Baby Steps,25,1,25,n,m,n,n,
Baccano,13,0,0,m,n,n,y,
Baka to Test,13,1,15,n,y,n,n,
Bakuman,25,2,50,m,y,n,n,
Beck,26,0,0,n,y,n,n,
Ben-To,12,0,0,n,m,y,n,
Bokura wa Minna Kawaisou,12,0,0,m,y,c,y,
Canvas 2,22,0,0,n,y,y,n,
Charlotte,13,0,0,m,n,n,y,-2
Chihayafuru,25,1,25,y,y,n,y,
Chuunibyou Ren,12,0,0,m,y,n,y,-1
Classroom Crisis,13,0,0,n,n,n,n,
Code Geass,25,1,25,yy,n,n,y,
Cowboy Bebop,26,0,0,yy,n,y,y,
Cross Game,50,0,0,m,y,n,n,
D-Frag,12,0,0,n,y,n,n,
Danchigai,2,0,0,n,y,n,n,
Death Note,37,0,0,y,n,n,n,
Death Parade,12,0,0,n,n,n,n,3
Dennou Coil,26,0,0,n,y,n,n,
Denpa Kyoushi,24,0,0,n,m,n,n,-2
Detroit Metal City,6,0,0,n,y,n,n,
Diamond no Ace,75,1,51,n,y,n,n,
Doubutsu no Mori,3,0,0,n,y,n,n,
Dungeon ni Deai..,13,0,0,m,m,n,y,
Durarara,24,3,36,m,n,n,y,
Elfen Lied,13,0,0,m,n,n,n,
Etotama,12,0,0,n,m,n,n,
Eyeshield 21,143,0,0,n,y,n,n,
Fairy Tail,175,1,102,m,n,n,n,
Free,12,1,13,m,y,n,n,
Full Metal Panic,24,1,13,n,n,n,n,
Fullmetal Alchemist Brotherhood,63,0,0,yy,n,y,y,
Fune wo Amu,11,0,0,n,y,n,n,
Fushigi na Somera-chan,2,0,0,n,y,n,n,-5
Futsuu no Joshikousei ga Locodol Yattemita,12,0,0,n,y,n,n,
Gakkou Gurashi!,12,0,0,m,m,n,y,2
Gatchaman Crowds,12,1,13,n,n,n,n,
Genshiken,12,2,28,n,y,y,n,
Getsuyoubi no Tawawa,2,0,0,n,m,n,n,
Gin no Saji,11,1,11,n,y,n,n,
Ginga Eiyuu Densetsu,110,0,0,yy,n,n,n,
